category,quantity,description,available_quantity,location,equipment_photo_url,stats
Baseball,2,Bates de madera,2,CM-213,equipment_photos/wAgfVNwRWUt5w86uzvM9bgbZX7Esv2pMJ0Rf3nSj.png,
Baseball,14,Bates de plastico,14,CM-213,equipment_photos/QwfbiVYHm5XZC3AuzFMOs8PyiLQeM3fsf0LVaheR.png,
Baseball,13,Bolas de foam 6 amarillas y azul,13,CM-213,equipment_photos/9bFuPoHgSrCy4yPARBzWCygcznOd0mm0rtsTWjNk.png,
Baseball,11,Bolas de foam 7.5 roja y amarillas,11,CM-213,equipment_photos/YMDfqIEla1P9gmoxI4NA5QIAMnC36DBtp5pF9ejy.png,
Baseball,17,Bolas de foam 8.5 amarillas y roja,17,CM-213,equipment_photos/4QMHrmLXT1vIEUULACkvEsIdg8BKfnJX0iUsjjkn.png,
Baseball,6,Bolas de foam low bounce,6,CM-213,equipment_photos/nV8giJIsoUBqjFvfoMhP9GICi0br2X9lXC0Ci5aI.png,
Baseball,3,Bolas Playground 4.5,3,CM-213,equipment_photos/THwg1K5S9ZinWJpiLxPXNXKaH7EIDxm5vJ8Gk5gJ.png,
Baseball,4,Bolas Playground 7,4,CM-213,equipment_photos/wVoG6IilAtBkxBxXZGzZGfTp6dqd79xmEMjokk0T.png,
Baseball,10,Bolas Playground 8.5,10,"CM-213, CM-B13",equipment_photos/SeOSMSNwkockwyuY7Ji0RKCYgUj82zELe8Vmfpoy.png,
Baseball,2,Bolas Playground 10,2,CM-213,equipment_photos/l5f0Scqt2j4LJ2yyg3xGpzgKI82XoQy5X5DGtqn0.png,
Baseball,2,Bolas Playground 13,2,CM-213,equipment_photos/Z7LyH3XTe4cUdYhUe1ISyqYiTBGbcO8ns0g5qdrY.png,
Baseball,4,Bolas de foam Dino skin 8.25,4,CM-213,equipment_photos/KNtWOsUAm1NOQsLUMbLNoEk6ffis8nhhG1uSm7Y4.png,
Baseball,2,Bolas de foam Dino skin 7,2,CM-213,equipment_photos/nbibt173TWOKYjP5prXHYmHYHdqThEjxLjwzILng.png,
Baseball,2,Bolas de foam Dino skin 6,2,CM-213,equipment_photos/2BpmKld1DpRKeKVcDjL04KjLqgOGvniDfWlJD3VS.png,
Baseball,12,Bolas wiffle,12,CM-104,equipment_photos/8K5mWrqUcsDLoVws6W0Om9Dxyl9VJPNoUqtIyuLe.png,
Baseball,20,Sacos de bolas de foam 6,20,CM-213,equipment_photos/SJ2cRwslE4O9xBXWTmg5LsBfzMAg80mfaUTfapkl.png,
Baseball,15,Bolas de foam handball,15,CM-213,equipment_photos/PdhEOcDBmyN3L4Bo7W0sd8dKZdSpI229wGZoRKo9.png,
Baseball,5,Bolas de foam pelota,5,CM-213,equipment_photos/7Y2hg04ZU8ojfzIyhpY3Gv1lliURbYCHVb2hglQo.png,
Baseball,2,Bocia ball,2,CM-B13,equipment_photos/XTaDoCbPgndui8u2xJQ0vHszsCor63fjvcTkuAzA.png,
Baseball,1,Beep base ball,1,CM-B13,equipment_photos/n5pQtOpaGhLbVbhcM9eoDoBj82IwuoCiq4AAtjmH.png,
Baseball,14,Bolas sensoriales,14,CM-B13,equipment_photos/DccU8WuiYWsH8KPORxrnIzlXKIJQExklcFnFJIuD.png,
Baseball,4,Bolas guantes de velcro,4,CM-B13,equipment_photos/gNKOzOFHuQhKAoqJwoHEMlJt7Isel69FDOs12H8U.png,
Baseball,6,Rubber band ball,6,CM-B13,equipment_photos/Fbv7I8wvBFFpTORKAUF8B0iZd7LSjRCRo8uLfRAw.png,
Baseball,5,Bolas cometas,5,CM-B13,equipment_photos/0U9Bj0lpgma1fLyegVOvCfqGztWIiKhgzSwdYV9x.png,
Baseball,17,Goof ball,17,CM-B13,equipment_photos/8BfsNQ3XeXGqSqG4sWHzqX98MKyC4J1fmaU6GDb8.png,
Baseball,11,Balon suizo,11,"CM-101A, CM-104",equipment_photos/aiuISdnzuBoSvjAnvORTNYh1cHMQrdVWL8Ezclze.png,
Softball,67,Bolas de softball duras y suaves,67,CM-104,equipment_photos/edlRzDasn7fdgWnXiP4mr5Zo6yp5YKMCD5x7FWlI.png,
Softball,14,Guantes de softball,14,CM-104,equipment_photos/IwpA4QbO366l8PPyLlM4N8lwdM5tHKCOerlDBI3G.png,
Softball,16,Bases de softball,16,"CM-104, CM-101B",equipment_photos/7bDwdeapK0jnQVx2LxS0lE8HutAvp8pLb6HhHdUn.png,
Softball,11,Bolas wiffle,11,CM-104,equipment_photos/oQ2EuhpIBXtu8QMtZL9e9hMD6ZeqbTNyjRzOb91o.png,
Softball,9,Cascos de softball,9,CM-104,equipment_photos/zifTxiVw8T7LJjiQ0BMKaZDrYDtGhghWTmRB7pT9.png,
Softball,1,Guantes baseball y softball,1,CM-101B,equipment_photos/RxmRwIkU1bAPAY2DapZE1vzgXeO4qDTBwD9RPQx6.png,
Fitness,1,Mancuernas 1 lb pares,1,CM-104,equipment_photos/BZgQQtS38so9QeiG4IIQHIaCS7OKwkmYwSGmdDzd.png,
Fitness,3,Mancuernas 2 lb pares,3,CM-104,equipment_photos/5As4KgotqhSKgv9n0Pc2C1L2zUWgHlW6G28om1jZ.png,
Fitness,2,Mancuernas 3 lb pares,2,CM-104,equipment_photos/ebJrPoGXXl0vUNDlB6tZTEfBbwj9GkrXBiAXHm6D.png,
Fitness,3,Mancuernas 5 lb pares,3,CM-101,equipment_photos/mfTX0vwRA2wmbzMnyVsBCMlLI5GYtu8Awx0T3857.png,
Fitness,1,Mancuernas 8 lb pares,1,CM-101,equipment_photos/P2Q7l6Tbt00R3nrRDYcUSIqWGXESwnSLTsgSOEdf.png,
Fitness,1,Mancuernas 10 lb pares,1,CM-101,equipment_photos/xUVHdVPYXWCvf3lh7IA6eStpnemFxYhjSZgtStav.png,
Fitness,6,Kettlebells 3 lb,6,CM-101,equipment_photos/I3PDng0kHPoOjNw6t916z45FBoI19jQ94EHnx0V8.png,
Fitness,2,Barras 45lb,2,CM-101,equipment_photos/T1JpiJ8zuEr4MI5Gr0GDtI0Y8mWbabWRZLBGtzKV.png,
Agility,33,Medios conos 12 pulgadas,33,CM-104,equipment_photos/yPePCVgLjkDfumz0gEQmVkdfsKTpYIAEP8UDsaJW.png,
Agility,192,Medios conos 6 pulgadas,192,CM-104,equipment_photos/HDYR3ctCFLdCYJmWRpd9PNomxX1sTQwRpRc8wgYh.png,
Agility,58,Conos 9 pulgadas,58,CM-104,equipment_photos/vbvirqMdTVN7oCsXrDI0LMdy68DN3gC43tewGs6B.png,
Agility,8,Conos 12 pulgadas pesados,8,CM-104,equipment_photos/Z3oyrud1OB2TbJ1GvEaFPnEnEosRc1qCUCmidiy7.png,
Agility,46,Conos 12 pulgadas livianos,46,CM-104,equipment_photos/1anHSxH2D5MDpmv7A6odvxqgrooFPWD42uT2RhTK.png,
Agility,13,Conos 18 pulgadas livianos,13,CM-104,equipment_photos/8Tk6hFw14SeYYCTED41Yt7umvHSbqFN65qmmUnbu.png,
Agility,10,Conos 18 pulgadas pesados,10,CM-104,equipment_photos/1cQuqaiF1XHTFc4dYyMpD3AvBcVozkkmJfcKlYTL.png,
Agility,21,Aros plasticos pequenos,21,CM-104,equipment_photos/5Ct8hsRWYUS657LDGVhkhgoStcG8CDkhsaAnLqkG.png,
Agility,39,Aros plasticos medianos,39,CM-104,equipment_photos/93O7oZgNkjvuJ28mjbYA4JvwLCR91Ll9scdCREfy.png,
Agility,6,Aros plasticos grandes,6,CM-104,equipment_photos/lAIOUb7tRhnu531yyaXMyN9keysXmyfbwhhtHiH2.png,
Agility,45,Aros de agilidad planos,45,CM-104,equipment_photos/T6BS8i5TTExO6Yl6GbewanFT9ODB5uiM1CCqU48i.png,
Agility,6,Vallas salto 6 pulgadas,6,CM-104,equipment_photos/nSRPYP4puoUYeoCQLCnplvlYPQJn362J3kxYxlgI.png,
Agility,11,Vallas salto 12 pulgadas,11,CM-104,equipment_photos/9uGxzHkZinjcHR1bLA7MGZm4jQ1zKkqpXD1r0hn9.png,
Agility,4,Vallas salto 18 pulgadas,4,CM-104,equipment_photos/en9MoZuNo8Fa4ZfTCsEPIkBzE5Cu8YZylXZCycAT.png,
Agility,4,Escalera de habilidad,4,CM-104,equipment_photos/0Fp6xPVzUiC0YcMvxoCfMT8h91LOb2hgL3hhDn47.png,
Agility,6,Disco de balance,6,CM-104,equipment_photos/0Lu7i9QU5mq8k7Q6M4G6CKE1PCuoNcTMUbmxmZcu.png,
Agility,6,Tubos de elasticos,6,CM-104,equipment_photos/LMuYM8ZBauJ4P5LvH48tIxd1fwoXkT5wXOTa2YwG.png,
Agility,5,Sit and reach,5,CM-104,equipment_photos/brwCBJQl0Xhfd13nZmjJeuXWTTLMBdEs2VN6IbqU.png,
Agility,11,Discos de balance,11,CM-B13,equipment_photos/w4siiwPTHhuHSjhixiKYnamvBezvpZosIMwWsGQp.png,
Training,2,Sogas entrenamiento,2,Almacen de pesas 2,equipment_photos/5u5q1fFfFhiTjvUtIUhLmElJi1yH6tOjX4TegPS7.png,
Training,4,Medballs 4 lb,4,CM-104,equipment_photos/20oXzuEgUa1PHWxNJQHQjZtRSaosaKNgxCDX0WNn.png,
Training,1,Medballs 6-7 lb,1,CM-104,equipment_photos/xouY1FDtCqnZmUTh97ir3duqTBk4aDhV09KMUPt2.png,
Training,4,Medballs 8 lb,4,CM-101B,equipment_photos/xouY1FDtCqnZmUTh97ir3duqTBk4aDhV09KMUPt2.png,
Training,4,Slamball 6 lb,4,CM-104,equipment_photos/8xfLrze8kDRIwMAeILpwRUdWLLeV5uSFac0S6UJT.png,
Training,2,Slamball 10 lb,2,CM-104,equipment_photos/aSaIsU1Lywz4cvBgNNY7fIfSI1kcd63yV2lsVAKW.png,
Training,18,Cuicas de plastico,18,CM-104,equipment_photos/1T0K4pFyowHTQB37IB3X3ZGvM6hgyhaaH00FqHC4.png,
Training,48,Cuicas de cuero,48,CM-104,equipment_photos/vFjCNJISUE9aK7mYT3qGZZRvfBsArDBRWhG7wdRw.png,
Training,30,Beanbags 3.5 pulgadas,30,CM-104,equipment_photos/Tr5fvYyr0VIAh1BbcFCNU2GAZPuV0D3pm7Y7ptN9.png,
Training,32,Beanbags 4.5 pulgadas,32,CM-104,equipment_photos/0QwUfvwHroc4sRJcAkxzFYZYcd7cGd0flWFifwrp.png,
Training,25,Beanbags 5 pulgadas,25,CM-104,equipment_photos/oM42EklDj2cm0yxJ20eUFxGuT6h1Y3iQKfzWW9Pj.png,
Training,4,Cajas de flexibilidad,4,CM-104,equipment_photos/aE1WezaIkOT0vvjoOyaAGvmv5ta5Q23gmxRJmM79.png,
Training,1,Kingball,1,CM-104,equipment_photos/CRG4LI2XDUSF2AjUYNt1P1quJ3e7LGZHpyfw2Eiv.png,
Training,21,Mini banda,21,CM-104,equipment_photos/piWt77Kpmi0AF9Drol8mYwKTOKJpkMjmgOkaq5vZ.png,
Training,9,Bandas para estiramiento,9,CM-104,equipment_photos/c1gcoPGHiYGOIiEF17HeRf2mLCx7qFMpbZl35wfS.png,
Training,12,Bolas indestructibles,12,CM-104,equipment_photos/AwGx9y3wQPbilKVa5GILsF3reke8B3MQJ95yQioE.png,
Training,23,Flag belts,23,CM-104,equipment_photos/qNLJqciEpoqSF6oCfq7TYXSKED2Yy4okE5BPoqTG.png,
Training,47,Bandas elasticas diferentes colores,47,CM-104,equipment_photos/kIB8ToX2aA8raDb7Gw2TYQmOaFyl3hYbc6c67tuv.png,
Training,11,Steps,11,CM-104,equipment_photos/cQt2CVQJyFW7umZek7hBrOsJO96atWCJId6nO7X5.jpg,
Training,30,Poly spot,30,CM-B13,equipment_photos/CBXUfIGGgWrcqccNl1m6gCza9Jw5njxKVYpDp2Mc.jpg,
Training,50,Egg flips,50,CM-B13,equipment_photos/QkCMKFY5ys9VztC4ohgjHUS38qrAQFrIDwHe3tPp.jpg,
Swimming,8,Tablas flotadoras,8,CM-101B,equipment_photos/jya9zhvoZfN48vemVhGgFRCTcz0tnhaTq5BMt1DR.jpg,
Swimming,8,Tablas flotantes,8,CM-B13,equipment_photos/BrmAe7S0iVghSvcIDJ8Ypvj94Kcl8N3QjEvPjOCN.jpg,
Swimming,50,Fideos,50,CM-213,equipment_photos/R47q1PEzI4XgG57t4fdayQwi5tFPGfdbAR5WMGYW.jpg,
Swimming,8,Agua Joggers,8,CM-B13,equipment_photos/K3b9hu1zrej9PC2UKANW2ETicquC2zvB6WB8rgeU.png,
Swimming,2,Pool accessories caras rojas,2,CM-B13,equipment_photos/2YfEJPUqatcJTMEEFAwhMVER5uOQKutwMPSezjjv.png,
Swimming,10,Pool accessories Balones acuaticos,10,CM-B13,equipment_photos/RQcLmpax2a8ZeFqY570dRh91sghs77sFw5Sas6o3.png,
Swimming,15,Flotadores de hule,15,CM-B13,equipment_photos/HXkZiaAFBqbPEkI4O9hneQ4NcBJpLK2DzZA77FuS.jpg,
Swimming,15,Diving rings,15,CM-B13,equipment_photos/WmvZKNC6NdMmJJzHVUhQCAtpo5eEKvj6huW5W64Z.png,
Swimming,1,Bola inflable,1,CM-B13,equipment_photos/DDcWG9Qx2YsPiLmLJTJNQHjKCeYzJ0SPrKzCeST9.png,
Swimming,15,Bolas inflables de piscina,15,CM-104,equipment_photos/qH0zFN9Lyykct6Mc6oqOJjfK2ZTunzeEiq6WaiR0.png,
Swimming,6,Bolas inflables con agarre,6,CM-B13,equipment_photos/814WpyA62nonw2DcLNLVqhvyuXWEQQC6IBHJbJag.png,
Swimming,2,Flotadores en PVC,2,CM-B13,equipment_photos/UKvy1vxxw5JWG74TFjbVS3YG4Xg6MeY5ntST56dB.png,
Swimming,3,Matress flotadores,3,CM-B13,equipment_photos/xiV29aEXCNQd9HFM7bzaH09QTicaBNGbaXCPa2Dx.png,
Swimming,6,Jackets salvavidas,6,CM-B13,equipment_photos/fsBulykwuPofcvool50iZJgHLA1e0fQ0XDAV4Z92.png,
Swimming,18,Paddles,18,CM-104,equipment_photos/PCwzZ0fiIVxDsDbqhaIKs6ZMHemS63cr5zQifJVq.png,
Frisbee,9,Frisbees genericos,9,CM-104,equipment_photos/E16wiyvI2nurZ7RANFwF7e27KRI5yNJVV28DRRJR.png,
Frisbee,10,Frisbees FD-95,10,CM-104,equipment_photos/GGWQwRWfHUyIf2BGjN4zqLx4A7ixRMrFG8d2yoTc.png,
Frisbee,10,Ultimate Frisbees,10,CM-213,equipment_photos/m4tSBRe9jg0w8PrBojAkeQPbuKkiWQsHSg1DzUki.png,
Misc,33,Blindfolds,33,CM-B13,equipment_photos/cnOX11vze5Ys8sSnUNRmtMzfyfRxkyYysTpRA5x0.png,
Misc,2,Compresor de aire,2,CM-104,equipment_photos/uhC6bRky32LkAphe31V3kxXWNAGlxeX2IJZ3y2KJ.png,
Misc,40,Bulto baberos rojos y verdes,40,CM-104,equipment_photos/o2LkuujyxGCN1leT5OBabEwiCDvLOXI4EbwhRzF3.png,
Misc,3,Broomball,3,CM-213,equipment_photos/umlm43ciSJyYoLBwi324ZnvkQSZoknQliwkaRaPU.png,
Misc,16,Baberos enumerados,16,CM-104,equipment_photos/Yg6GF5PadT7Ugn9wPuKeefZ2qA4Fjcyegs3abhqI.png,
Misc,3,Can de agua,3,Boveda,equipment_photos/YttsB1Ocoiba2utpFZKTvARr1WmOSmwR4Fz200qH.png,
Misc,2,Paracaidas,2,CM-104 y CM-B13,equipment_photos/3BpuQvmiDtJLd0YZQwfNROFUshjjCE7Qg9hNPKhU.png,
Misc,4,Balon de balonmano,4,CM-213,equipment_photos/e9g5ryzSTGb3byjpNysRLH1BRpHW8gnSlNtn0L4W.png,
Misc,3,Sets de Spikeball,3,CM-213,equipment_photos/ebI2MP0VHZXUqa3uPRte9gcxKHnd6VvgKKpdNuJx.png,
Misc,1,Sets de hockey sobre cesped 12 palos,1,CM-213,equipment_photos/90ZBhFweqw6vTTjOC9b3nXcz7Mp8g74o8uNrzltO.png,
Misc,6,Raquetas Fiberglass,6,CM-213,equipment_photos/oSfr6aKE5qg2epfAj3D9Xvt7050LdOcog1DtPjU6.png,
Misc,21,Set ultra Soft de Hockey,21,CM-213,equipment_photos/9G15rvrigeHJO4GqjCcWo2rQBmdVJWWYVmVIMEpY.png,
Misc,10,Set ultra Soft de Polo,10,CM-213,equipment_photos/1MeUUVftzMexAA9HGNybQtuTAp21mIoZW6IOjiyX.png,
Misc,1,Set de bowling 14 pinos y 1 bola,1,CM-213,equipment_photos/4sYJXFvkjkXlu84Tn0B2T6q4NysXy5bgLeJMOEP4.png,
Misc,1,Set de bowling 13 pinos y 1 bola,1,CM-B13,equipment_photos/IBt8ThNg7E2KIUhk1WznF1b3UKmrmCFSrXpdn0Hk.png,
Misc,11,Bolas Raquetball,11,CM-104,equipment_photos/ziObZxkICzJuX3yFdcXiRAIGnZOGO4FYojtQSG3A.png,
Misc,10,Set Lacrosee 10 palos,10,CM-213,equipment_photos/srJwiUqIXGGPtNbxqYkYmJHnAsWMCGXpD94XAVyX.png,
Misc,10,Ultra soft Hockey 10 palos,10,CM-B13,equipment_photos/Bd7EQcbjXoeN0CLifg2eP53Tz7OXHKr79IHmEd6h.png,
Misc,1,Ultra soft Hockey 1 bola,1,CM-B13,equipment_photos/BguEmvxUhd43GVNoUY64lsRvm19AEvNq46U7dZp0.png,
Misc,11,Scooters,11,CM-B13,equipment_photos/H1y5Xwh9wlWywN3HP0kJmypzxZ4f5JZbHr5lSjdF.png,
Misc,3,Rolos para secar cancha,3,CM-101B,equipment_photos/ZoKDBlPXquikiRzsS30L3asSuMHyVjXTsPufisbS.png,
Misc,3,Balones de football,3,CM-104,equipment_photos/Vo0SP9VQTGSVVXceqbdOVcjU0M1OOryTVVkU0TG4.png,
Misc,9,Tape gris,9,CM-101B,equipment_photos/aH5RXE8gkKQuLl5tDesu5Qp0JSjMFi9lIp4v1tI9.png,
Assessment Equipment,11,Plicometro,11,CM-104,equipment_photos/ZRYA24TugLq51bPAQgQasJE2joBkjfIz5hToLzR7.png,
Assessment Equipment,19,Cintas metricas varios colores y tamanos,19,CM-104,equipment_photos/tUneVeRVDxh0S9wQ5xoUcDdeQExXstBNYfcFbMKG.png,
Assessment Equipment,3,Score board,3,CM-104 en Armario 2,equipment_photos/HcI0qKeGpme75clvkBM5k7NP07K468G17KjpGAUS.png,
Assessment Equipment,5,Pizarras,5,CM-B13,equipment_photos/epuI7gdD8PitouF6NDv6TkYxrgUWtNvyoSlUB3t9.png,
Assessment Equipment,36,Floor tape,36,CM-101B,equipment_photos/W9fRYZdcqn9mX2eIow5rcSTg8YpXYUSp8w67Sf8L.png,
Assessment Equipment,3,Bulto TGMD para pruebas motoras,3,CM-111B,equipment_photos/JC4UWVHsmd9EExCVHFlPmOBW8lc39C1ixDlie6Ow.png,
Raquetball,12,Raquetas de Raquetbol,12,CM-104,equipment_photos/NScIVhX4839NGt9JNvtmORQXYTltco4OJQC1G377.png,
Croquet,1,Set de croquet,1,CM-104,equipment_photos/fAHP1w4LMq5xIszeHoCLUEFjXTag2P8XO1dCzieu.png,
Badminton,45,Raquetas de badminton,45,CM-213,equipment_photos/IoERIjkxE57ThEHVzTaYiKPU6Ma365WUwqd8BkFz.png,
Badminton,135,volantes de badminton,135,CM-213,equipment_photos/N0eJtKDKpW5WTCAmHSIIFS4FGP9sJb2jcW9k7Fjh.png,
Badminton,4,Mallas de badminton,4,CM-213,equipment_photos/XkHz0TEPcf3a3ERa74c6voxHgcAXP6jJDOyPrvkB.png,
Pickleball,40,Raquetas de pickleball,40,CM-213,equipment_photos/9od0Dgnx635TWaOiSs1rRsMKG7p20Jln7PyqOffS.png,
Pickleball,24,Mallas de pickleball,24,CM-213,equipment_photos/Q54J8MGcglSFmjcXEYCGdyG6lGDjNtVoZLpKEN8l.png,
Pickleball,3,Bolas de pickleball,3,CM-213,equipment_photos/zzCTLJvwxAfWc3B015MIR06M0n7JhtXXssNX4C2K.png,
Hockey,5,Bolas de Hockey,5,CM-213,equipment_photos/Buq1dIXlQmEtcSBfLgETTqIL6c7oQVNeRypce9Iz.png,
Hockey,32,Palos de Hockey,32,CM-213,equipment_photos/F8tWhVqI0qZkzSe9J1coAIfN72WZJ1vaCDCAJKep.png,
Hockey,5,Discos de Hockey,5,CM-213,equipment_photos/CkcOsSbBVS2vcYlVOgKwFFsmkllmg59mG2tcKP8A.png,
Tennis de mesa,4,Mesas de tennis de mesa,4,CM-213,equipment_photos/YzgSQeEor0lR4OrdRoaHGN23KqGQVxq45BqaY80E.png,
Tennis de mesa,300,Bolas de tennis de mesa,300,CM-213,equipment_photos/bVf7dCeLlV6ZfckhJxho3mNKRdfwqRsCmB0L13uy.png,
Tennis de mesa,40,Raquetas de tennis de mesa,40,CM-213,equipment_photos/mbSUSaDi7y1n9pFiraPVVFppyb0EwLlPpJBvctRx.png,
Gimnasio,4,Matress de gimnasia,4,CM-206B,equipment_photos/LM07wntqHN5QWUwxz2LwITorvcpQcx12tHpl5ekT.png,
Gimnasio,4,Quesitos de gimnasia,4,CM-213,equipment_photos/sUcqeRWF7ogDPviIsHcD30bCj2ImhqNuSwGxf58m.png,
Gimnasio,29,Hula hoop,29,CM-B13,equipment_photos/J61EMwXFdVeeRx8veClnS0H0bs6Qs7Nt2T2yUo4q.png,
CPR,4,training manikin,4,CM-115 y CM-210,equipment_photos/YzprsBdjEQzcyvOYR7ghOr3nIwP8KsGUv5K9gyt7.png,
CPR,13,911 infantes,13,CM-115 y CM-210,equipment_photos/DB8uFhSZnwP0gPzOIWRE4vkTX7H5x29c4iI2EGn8.png,
CPR,67,911 adultos,67,CM-115 y CM-210 y CM-201A,equipment_photos/qfYZ2AIT5Mu9qmjqtmJ1UcQnnkG3XYFHZmpx1Wd6.png,
